h,a,T
0.0009765625,8.636168555094445E-78,1.3744882595108403931400236083701225311324239644689708586807815384228328501e-78
0.0009765625,1.3817869688151111E-76,2.1991812152173446290240377733921960498118783431503533738892504614765325601e-77
0.0009765625,2.210859150104178E-75,3.5186899443477514064384604374275136796990053490405653982228007383624520962e-76
0.0009765625,3.5373746401666845E-74,5.629903910956402250301536699884021887518408558464904637156481181379923354e-75
0.0009765625,5.659799424266695E-73,9.0078462575302436004824587198144350200294536935438474194503698902078773664e-74
0.0009765625,9.055679078826712E-72,1.4412554012048389760771933951703096032047125909670155871120591824332603786e-72
0.0009765625,1.448908652612274E-70,2.3060086419277423617235094322724953651275401455472249393792946918932166058e-71
0.0009765625,2.3182538441796384E-69,3.6896138270843877787576150916359925842040642328755599030068715070291465693e-70
0.0009765625,3.7092061506874214E-68,5.9033821233350204460121841466175881347265027726008958448109944112466345108e-69
0.0009765625,5.934729841099874E-67,9.4454113973360327136194946345881410155624044361614333516975910579946152173e-68
0.0009765625,9.495567745759799E-66,1.5112658235737652341791191415341025624899847097858293362716145692791384348e-66
0.0009765625,1.5192908393215678E-64,2.4180253177180243746865906264545640999839755356573269380345833108466214956e-65
0.0009765625,2.4308653429145085E-63,3.868840508348838999498545002327302559974360857051723100855333297354594393e-64
0.0009765625,3.8893845486632136E-62,6.1901448133581423991976720037236840959589773712827569613685332757673510288e-63
0.0009765625,6.223015277861142E-61,9.9042317013730278387162752059578945535343637940524111381896532412277616461e-62
0.0009765625,9.956824444577827E-60,1.5846770722196844541946040329532631285654982070483857821103445185964418634e-60
0.0009765625,1.5930919111324523E-58,2.5354833155514951267113664527252210057047971312774172513765512297543069814e-59
0.0009765625,2.5489470578119236E-57,4.0567733048823922027381863243603536091276754100438676022024819676068911702e-58
0.0009765625,4.078315292499078E-56,6.4908372878118275243810981189765657746042806560701881635239711481710258724e-57
0.0009765625,6.525304467998525E-55,1.0385339660498924039009756990362505239366849049712301061638353837073641396e-55
0.0009765625,1.044048714879764E-53,1.6616543456798278462415611184580008382986958479539681698621366139317826233e-54
0.0009765625,1.6704779438076223E-52,2.6586469530877245539864977895328013412779133567263490717794185822908521973e-53
0.0009765625,2.6727647100921956E-51,4.2538351249403592863783964632524821460446613707621585148470697316653635157e-52
0.0009765625,4.276423536147513E-50,6.8061361999045748582054343412039714336714581932194536237553115706645816252e-51
0.0009765625,6.842277657836021E-49,1.08898179198473197731286949459263542938743331091511257980084985130633306e-49
0.0009765625,1.0947644252537633E-47,1.742370867175571163700591191348216687019893297464180127681359762090132896e-48
0.0009765625,1.7516230804060213E-46,2.7877933874809138619209459061571466992318292759426882042901756193442126337e-47
0.0009765625,2.802596928649634E-45,4.4604694199694621790735134498514347187709268415083011268642809909507402139e-46
0.0009765625,4.484155085839415E-44,7.1367510719511394865176215197622955500334829464132818029828495855211843422e-45
0.0009765625,7.174648137343064E-43,1.1418801715121823178428194431619672880053572714261250884772559336833894948e-43
0.0009765625,1.1479437019748901E-41,1.8270082744194917085485111090591476608085716342818001415636094938934231916e-42
0.0009765625,1.8367099231598242E-40,2.9232132390711867336776177744946362572937146148508802265017751902294771066e-41
0.0009765625,2.938735877055719E-39,4.6771411825138987738841884391914180116699433837614083624028403043671633705e-40
0.0009765625,4.70197740328915E-38,7.4834258920222380382147015027062688186719094140182533798445444869874613928e-39
0.0009765625,7.52316384526264E-37,1.1973481427235580861143522404330030109875055062429205407751271179179938226e-37
0.0009765625,1.2037062152420224E-35,1.915757028357692937782963584692804817580008809988672865240203388668790024e-36
