h,a,y,relative_error
0.25,1.95156e1,0.2006468351497974852620036110831590328033881442718172275107220696077212111640279446650702332974000428954358519965585281049827330801586085110239527829843,1.00113e-8
0.25,2.55195e1,0.2006468371583372443748531714423950733144330232195362232486570294565112879766873442146699438505505497722521273460559378636302989752270007959251820898216,1.00123e-12
0.25,3.04883e1,0.2006468371585381177917635443424994569684518875595795370429490554639168748250411712377530019239242372812025412672157327729059461356432706390050030139867,1.00115e-16
0.25,3.48125e1,0.2006468371585381378775655783080102589082446763237262154703559859134612810028859825863044149458806531467399487955639207824510719830026815488883706927476,1.00053e-20
0.25,3.86875e1,0.2006468371585381378795729033662187108082367896086250434879956971002867908081430871641549193623878654172523086065826458271285397859020880047360132755065,1.00098e-24
0.25,4.22275e1,0.2006468371585381378795731041893731075023233488064736003784406887771947392417117621589806198914833707517641035794200463579412272535150414675744523307795,1.00226e-28
0.25,4.55068e1,0.2006468371585381378795731042094811218932461595667083029635045745608216380131920428569268534296565223730469720259195335949945243388062351416770917403733,1.00100e-32
0.25,4.85742e1,0.2006468371585381378795731042094831301582901664096065984772888785579592803858763859146826613380164362252671100647671604835951931126575316756422964081351,1.00020e-36
0.25,5.14648e1,0.2006468371585381378795731042094831303589561432914725090909135731990388409350632214146406097558721284830369440468050895512084926710496687232397466451834,1.00256e-40
0.5,1.00679e1,0.1542687678196093458036699443385218112738758432176992329904664986361728413061872183086725068195887114976780088318807444275433866858054319425412787095227,1.00045e-8
0.5,1.30088e1,0.1542687693628389327465662793590059080255739270838582911282458095428563324366701150078512192647799161923418573223250938427802918872990704998875154637567,1.00160e-12
0.5,1.54575e1,0.1542687693629934327376912914199983544219965803525928452765646531853995830092920956486456109867253667574725602018441789521342313159317843209131217194596,1.00107e-16
0.5,1.75952e1,0.1542687693629934481796018269399888340387670843811155456703616381769677807199373921290772780890144593491834907645333450661788601846863074874880252897783,1.00206e-20
0.5,1.95156e1,0.1542687693629934481811475403612676883911113596503714425971720959930915751558112914542726627749770822157754120352977627129666835839001152176042888577635,1.00043e-24
0.5,2.12725e1,0.1542687693629934481811476946804041467725064020930735881401760731512845334078057864381194837996823726385967030841082020496031294783318907599569289267294,1.00001e-28
0.5,2.29009e1,0.1542687693629934481811476946958295854946775639109559886690729821646065970822194539714157410110162446238503666903505929067043141714491871744937678526632,1.00122e-32
0.5,2.44253e1,0.1542687693629934481811476946958311299034666639263860592596867851592732769176165533486741176484311259908838383569282964486019220251885357050763032260244,1.00300e-36
0.5,2.58638e1,0.1542687693629934481811476946958311300581834625806610087212715736139619681428912857166571926448097151928924829916458219754600154377301069419098557447231,1.00148e-40
0.75,6.84115e0,0.1133136750538583360305775244039132722201513375532971718305923004291273004663364039079512055372805166108818529115472719539449320536268554887069239590103,1.00127e-8
0.75,8.77799e0,0.1133136761883207648798284135465352288261836967169278846290374378119989590710406072955984946186843561249139197895556597200110920069245714051681434093415,1.00019e-12
